farm,season,biomass,plot,trt,paddock,pregraze_g,pregraze_mg_ha,pregraze_tons_acre,postgraze_g,postgraze_mg_ha,postgraze_tons_acre,fifference_mg_ha,perc_grazed,CP,ADF,NDF,RFV
Honken,Fall 2020,Forage,105,Grazed,1,274,4.724137931,2.106965517,NA,NA,NA,NA,NA,0.766666667,50.59333333,90.30333333,50.97835804
Honken,Fall 2020,Forage,106,Grazed,1,209.9,3.618965517,1.614058621,NA,NA,NA,NA,NA,1.973333333,46.48333333,84.34333333,58.1118518
Honken,Fall 2020,Forage,201,Enclosed,2,171.9,2.963793103,1.321851724,NA,NA,NA,NA,NA,0.57,49.92333333,92.83333333,50.11203541
Honken,Fall 2020,Forage,202,Enclosed,2,161.9,2.79137931,1.244955172,NA,NA,NA,NA,NA,2.326666667,47.02666667,87.65,55.4703317
Honken,Fall 2020,Forage,203,Enclosed,2,155.4,2.679310345,1.194972414,NA,NA,NA,NA,NA,0.623333333,50.43666667,90.30333333,51.1040773
Honken,Fall 2020,Forage,204,Grazed,2,238.7,4.115517241,1.83552069,NA,NA,NA,NA,NA,1.706666667,47.17666667,88.59,54.7590564
Honken,Fall 2020,Forage,205,Grazed,2,169,2.913793103,1.299551724,NA,NA,NA,NA,NA,2.116666667,47.42,90.25333333,53.55449433
Honken,Fall 2020,Forage,206,Grazed,2,94.3,1.625862069,0.725134483,NA,NA,NA,NA,NA,2.423333333,44.13333333,82.34,61.5938828
Honken,Fall 2020,Forage,301,Enclosed,3,207.3,3.574137931,1.594065517,NA,NA,NA,NA,NA,2.223333333,43.84666667,82.64,61.6216559
Honken,Fall 2020,Forage,302,Enclosed,3,170.4,2.937931034,1.310317241,NA,NA,NA,NA,NA,2.5,43.09,82.46,62.42112032
Honken,Fall 2020,Forage,303,Enclosed,3,57.4,0.989655172,0.441386207,NA,NA,NA,NA,NA,3.266666667,41.88333333,77.22333333,67.78633602
Honken,Fall 2020,Forage,304,Grazed,3,120.7,2.081034483,0.928141379,NA,NA,NA,NA,NA,1.65,45.65333333,88.29666667,56.19117369
Honken,Fall 2020,Forage,305,Grazed,3,168,2.896551724,1.291862069,NA,NA,NA,NA,NA,2.003333333,42.99,82.32666667,62.61023678
Honken,Fall 2020,Forage,306,Grazed,3,255.8,4.410344828,1.967013793,NA,NA,NA,NA,NA,4.47,41.13333333,78.82333333,67.09987304
Anderson,Spring 2021,Forage,101,Enclosed,1,74.1,1.277586207,0.569803448,177.7,3.063793103,1.366451724,-1.786206897,-1.398110661,11.30666667,30.11,66.62,91.38160899
Anderson,Spring 2021,Forage,102,Enclosed,1,29.9,0.515517241,0.22992069,140.5,2.422413793,1.080396552,-1.906896552,-3.698996656,13.59333333,25.05666667,53.64,120.3212748
Anderson,Spring 2021,Forage,103,Enclosed,1,36,0.620689655,0.276827586,167.8,2.893103448,1.290324138,-2.272413793,-3.661111111,12.81,25.96,56.70666667,112.6599992
Anderson,Spring 2021,Forage,104,Grazed,1,38.7,0.667241379,0.297589655,22.4,0.386206897,0.172248276,0.281034483,0.42118863,11.07,26.96666667,56.39,111.9990212
Anderson,Spring 2021,Forage,105,Grazed,1,31.4,0.54137931,0.241455172,27.4,0.472413793,0.210696552,0.068965517,0.127388535,13.34666667,21.08666667,49.14,137.1941329
Anderson,Spring 2021,Forage,106,Grazed,1,55.5,0.956896552,0.426775862,51.2,0.882758621,0.393710345,0.074137931,0.077477477,11.49333333,24.71333333,52.19666667,124.125031
Anderson,Spring 2021,Forage,201,Enclosed,2,68.8,1.186206897,0.529048276,147.8,2.548275862,1.136531034,-1.362068966,-1.148255814,14.12,22.74,54.06333333,122.4843214
Anderson,Spring 2021,Forage,202,Enclosed,2,109.3,1.884482759,0.84047931,171.2,2.951724138,1.316468966,-1.067241379,-0.566331199,10.43333333,30.87333333,65.16,92.58022946
Anderson,Spring 2021,Forage,203,Enclosed,2,81.8,1.410344828,0.629013793,172.4,2.972413793,1.325696552,-1.562068966,-1.107579462,13.35333333,26.26,58.68666667,108.4885861
Anderson,Spring 2021,Forage,204,Grazed,2,35.2,0.606896552,0.270675862,45.7,0.787931034,0.351417241,-0.181034483,-0.298295455,15.29333333,23.97333333,51.81833333,126.0661359
Anderson,Spring 2021,Forage,205,Grazed,2,46.2,0.796551724,0.355262069,61.5,1.060344828,0.472913793,-0.263793103,-0.331168831,16.43333333,24.31,50.78666667,128.1466356
Anderson,Spring 2021,Forage,206,Grazed,2,55,0.948275862,0.422931034,51.1,0.881034483,0.392941379,0.067241379,0.070909091,11.02,28.18,58.96333333,105.6198846
Anderson,Spring 2021,Forage,301,Enclosed,3,122.1,2.105172414,0.938906897,194.4,3.351724138,1.494868966,-1.246551724,-0.592137592,14.96333333,30.06333333,64.72333333,94.1117242
Anderson,Spring 2021,Forage,302,Enclosed,3,157.6,2.717241379,1.211889655,149.2,2.572413793,1.147296552,0.144827586,0.053299492,12.68,29.67,60.96666667,100.3782522
Anderson,Spring 2021,Forage,303,Enclosed,3,125.6,2.165517241,0.96582069,186.3,3.212068966,1.432582759,-1.046551724,-0.483280255,14.09666667,27.28333333,55.51666667,113.3475386
Anderson,Spring 2021,Forage,304,Grazed,3,68.6,1.182758621,0.527510345,30.4,0.524137931,0.233765517,0.65862069,0.556851312,14.00666667,24.08666667,50.56333333,129.0327182
Anderson,Spring 2021,Forage,305,Grazed,3,43.8,0.755172414,0.336806897,30.6,0.527586207,0.235303448,0.227586207,0.301369863,13.98,24.10333333,50.92333333,128.0968107
Anderson,Spring 2021,Forage,306,Grazed,3,38.8,0.668965517,0.298358621,33.4,0.575862069,0.256834483,0.093103448,0.139175258,15.88666667,20.12666667,44.20333333,154.0898771
Honken,Spring 2021,Forage,101,Enclosed,1,94.9,1.636206897,0.729748276,126.1,2.174137931,0.969665517,-0.537931034,-0.328767123,15.05333333,29.37666667,60.71666667,101.1416504
Honken,Spring 2021,Forage,102,Enclosed,1,45.9,0.79137931,0.352955172,111.3,1.918965517,0.855858621,-1.127586207,-1.424836601,14.72333333,23.42666667,49.95666667,131.5570425
Honken,Spring 2021,Forage,103,Enclosed,1,59.4,1.024137931,0.456765517,150.9,2.601724138,1.160368966,-1.577586207,-1.54040404,11.45333333,29.40333333,60.62666667,101.2599209
Honken,Spring 2021,Forage,104,Grazed,1,53.4,0.920689655,0.410627586,59.1,1.018965517,0.454458621,-0.098275862,-0.106741573,11.16666667,31,64.95333333,92.73348307
Honken,Spring 2021,Forage,105,Grazed,1,22.7,0.39137931,0.174555172,62,1.068965517,0.476758621,-0.677586207,-1.731277533,17.20333333,21.88,45.85,145.784748
Honken,Spring 2021,Forage,106,Grazed,1,46.9,0.80862069,0.360644828,90.7,1.563793103,0.697451724,-0.755172414,-0.933901919,10.32833333,32.34,66.885,88.60350723
Honken,Spring 2021,Forage,201,Enclosed,2,48.2,0.831034483,0.370641379,143.3,2.470689655,1.101927586,-1.639655172,-1.973029046,13.96,26.58,52.93666667,119.8346071
Honken,Spring 2021,Forage,202,Enclosed,2,41.9,0.722413793,0.322196552,124.3,2.143103448,0.955824138,-1.420689655,-1.966587112,12.89333333,25.56666667,52.82,121.489511
Honken,Spring 2021,Forage,203,Enclosed,2,62.2,1.072413793,0.478296552,112,1.931034483,0.861241379,-0.85862069,-0.800643087,12.66,26.02666667,61.08,104.5144403
Honken,Spring 2021,Forage,204,Grazed,2,65.2,1.124137931,0.501365517,105.7,1.822413793,0.812796552,-0.698275862,-0.621165644,12.59,28.165,58.5,106.474999
Honken,Spring 2021,Forage,205,Grazed,2,72.1,1.243103448,0.554424138,108.6,1.872413793,0.835096552,-0.629310345,-0.506241331,9.0425,33.3925,67.015,87.29353199
Honken,Spring 2021,Forage,206,Grazed,2,59.6,1.027586207,0.458303448,48.9,0.843103448,0.376024138,0.184482759,0.179530201,14.36,26.53333333,52.12666667,121.7616004
Honken,Spring 2021,Forage,301,Enclosed,3,48,0.827586207,0.369103448,127.9,2.205172414,0.983506897,-1.377586207,-1.664583333,13.53,27.86666667,58.79333333,106.3114787
Honken,Spring 2021,Forage,302,Enclosed,3,71.9,1.239655172,0.552886207,121.6,2.096551724,0.935062069,-0.856896552,-0.69123783,11.87666667,34.95,71.89,79.80402876
Honken,Spring 2021,Forage,303,Enclosed,3,70.1,1.20862069,0.539044828,103.4,1.782758621,0.795110345,-0.574137931,-0.475035663,10.02333333,30.77333333,63.65,94.89040477
Honken,Spring 2021,Forage,304,Grazed,3,62.3,1.074137931,0.479065517,81.2,1.4,0.6244,-0.325862069,-0.303370787,17.26,26.25333333,52.16333333,122.0649867
Honken,Spring 2021,Forage,305,Grazed,3,90.1,1.553448276,0.692837931,98.9,1.705172414,0.760506897,-0.151724138,-0.097669256,12.53,30.60666667,58.56333333,103.3385813
Honken,Spring 2021,Forage,306,Grazed,3,67.4,1.162068966,0.518282759,74,1.275862069,0.569034483,-0.113793103,-0.097922849,14.02333333,29.59666667,57.82666667,105.9207093
Anderson,Summer 2020,Grain,101,Enclosed,1,42.3,0.729310345,0.325272414,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2020,Grain,102,Enclosed,1,60.5,1.043103448,0.465224138,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2020,Grain,103,Enclosed,1,48.3,0.832758621,0.371410345,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2020,Grain,104,Grazed,1,32.3,0.556896552,0.248375862,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2020,Grain,105,Grazed,1,49.5,0.853448276,0.380637931,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2020,Grain,106,Grazed,1,29.8,0.513793103,0.229151724,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2020,Grain,201,Enclosed,2,70.3,1.212068966,0.540582759,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2020,Grain,202,Enclosed,2,79,1.362068966,0.607482759,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2020,Grain,203,Enclosed,2,67.5,1.163793103,0.519051724,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2020,Grain,204,Grazed,2,48.7,0.839655172,0.374486207,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2020,Grain,205,Grazed,2,40.9,0.705172414,0.314506897,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2020,Grain,206,Grazed,2,47.2,0.813793103,0.362951724,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2020,Grain,301,Enclosed,3,42.9,0.739655172,0.329886207,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2020,Grain,302,Enclosed,3,59.5,1.025862069,0.457534483,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2020,Grain,303,Enclosed,3,57.3,0.987931034,0.440617241,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2020,Grain,304,Grazed,3,52.5,0.905172414,0.403706897,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2020,Grain,305,Grazed,3,27.2,0.468965517,0.209158621,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2020,Grain,306,Grazed,3,42.6,0.734482759,0.32757931,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2020,Straw,101,Enclosed,1,432.7,7.460344828,3.327313793,NA,NA,NA,NA,NA,1.936289318,72.98735014,42.27462,71.33197983
Anderson,Summer 2020,Straw,102,Enclosed,1,421.4,7.265517241,3.24042069,NA,NA,NA,NA,NA,1.76358195,75.29138325,45.15348,66.37831645
Anderson,Summer 2020,Straw,103,Enclosed,1,483.2,8.331034483,3.715641379,NA,NA,NA,NA,NA,2.328940226,71.65553299,42.203442,72.72976548
Anderson,Summer 2020,Straw,104,Grazed,1,281.9,4.860344828,2.167713793,NA,NA,NA,NA,NA,2.601389261,70.22847744,40.895712,75.55702629
Anderson,Summer 2020,Straw,105,Grazed,1,312,5.379310345,2.399172414,NA,NA,NA,NA,NA,3.0361184,70.90922496,40.6028,75.13099772
Anderson,Summer 2020,Straw,106,Grazed,1,256.2,4.417241379,1.970089655,NA,NA,NA,NA,NA,1.960658098,68.89805787,42.150025,75.69677782
Anderson,Summer 2020,Straw,201,Enclosed,2,658.7,11.35689655,5.065175862,NA,NA,NA,NA,NA,2.463488078,69.66096944,42.76382,74.22926059
Anderson,Summer 2020,Straw,202,Enclosed,2,680.4,11.73103448,5.232041379,NA,NA,NA,NA,NA,2.469872048,72.91062284,43.40466,70.28391074
Anderson,Summer 2020,Straw,203,Enclosed,2,701.7,12.09827586,5.395831034,NA,NA,NA,NA,NA,2.778604416,67.78912678,40.66736,78.52000348
Anderson,Summer 2020,Straw,204,Grazed,2,351.3,6.056896552,2.701375862,NA,NA,NA,NA,NA,3.096226734,72.0617435,44.407674,70.10321894
Anderson,Summer 2020,Straw,205,Grazed,2,324.4,5.593103448,2.494524138,NA,NA,NA,NA,NA,3.035642434,68.18588608,39.373983,79.43765926
Anderson,Summer 2020,Straw,206,Grazed,2,350.9,6.05,2.6983,NA,NA,NA,NA,NA,3.043814928,72.47969001,40.759376,73.34654052
Anderson,Summer 2020,Straw,301,Enclosed,3,499.6,8.613793103,3.841751724,NA,NA,NA,NA,NA,2.395659446,75.98959168,45.553332,65.38711199
Anderson,Summer 2020,Straw,302,Enclosed,3,472.3,8.143103448,3.631824138,NA,NA,NA,NA,NA,2.557302219,74.45092926,45.562258,66.7297664
Anderson,Summer 2020,Straw,303,Enclosed,3,462.2,7.968965517,3.554158621,NA,NA,NA,NA,NA,3.780200299,66.91928351,43.027357,76.98505937
Anderson,Summer 2020,Straw,304,Grazed,3,338.8,5.84137931,2.605255172,NA,NA,NA,NA,NA,3.929682739,65.73695304,40.16128,81.5291152
Anderson,Summer 2020,Straw,305,Grazed,3,265.1,4.570689655,2.038527586,NA,NA,NA,NA,NA,3.959324146,65.23119692,39.497024,82.89915347
Anderson,Summer 2020,Straw,306,Grazed,3,348.9,6.015517241,2.68292069,NA,NA,NA,NA,NA,3.514046285,69.11851853,41.474016,76.1640753
Anderson,Summer 2021,Grain,101,Enclosed,1,6.1,0.105172414,0.046906897,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2021,Grain,102,Enclosed,2,19.6,0.337931034,0.150717241,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2021,Grain,103,Enclosed,3,25,0.431034483,0.192241379,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2021,Grain,104,Grazed,4,5.9,0.101724138,0.045368966,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2021,Grain,105,Grazed,5,10.8,0.186206897,0.083048276,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2021,Grain,106,Grazed,6,6.1,0.105172414,0.046906897,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2021,Grain,201,Enclosed,1,55.3,0.953448276,0.425237931,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2021,Grain,202,Enclosed,2,52.5,0.905172414,0.403706897,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2021,Grain,203,Enclosed,3,45.6,0.786206897,0.350648276,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2021,Grain,204,Grazed,4,35.7,0.615517241,0.27452069,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2021,Grain,205,Grazed,5,34.8,0.6,0.2676,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2021,Grain,206,Grazed,6,53.8,0.927586207,0.413703448,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2021,Grain,301,Enclosed,1,56.2,0.968965517,0.432158621,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2021,Grain,302,Enclosed,2,38.1,0.656896552,0.292975862,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2021,Grain,303,Enclosed,3,58.2,1.003448276,0.447537931,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2021,Grain,304,Grazed,4,53.3,0.918965517,0.409858621,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2021,Grain,305,Grazed,5,66.8,1.151724138,0.513668966,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2021,Grain,306,Grazed,6,39.9,0.687931034,0.306817241,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson,Summer 2021,Straw,101,Enclosed,1,253.1,4.363793103,1.946251724,NA,NA,NA,NA,NA,3.43429632,64.97127936,39.74256,82.95693518
Anderson,Summer 2021,Straw,102,Enclosed,2,292,5.034482759,2.24537931,NA,NA,NA,NA,NA,3.964712858,65.791377,39.09792,82.63289767
Anderson,Summer 2021,Straw,103,Enclosed,3,275.5,4.75,2.1185,NA,NA,NA,NA,NA,4.481896782,62.06509695,37.733839,89.18668757
Anderson,Summer 2021,Straw,104,Grazed,4,197.1,3.398275862,1.515631034,NA,NA,NA,NA,NA,5.329391262,58.47787908,33.527625,99.86997287
Anderson,Summer 2021,Straw,105,Grazed,5,176.3,3.039655172,1.355686207,NA,NA,NA,NA,NA,5.417876448,63.52897061,34.924128,90.33652506
